Ax;Ay;Bx;By;Mx;My;Nx;Ny;Vp;vp_raw;varvp;varvp_raw;tensao;corrente;step;potencia;resistencia corrente;resistividade
237.5;0.0;230.0;0.0;235.0;0.0;232.5;0.0;889.54;49746779.0;0.14;32288.0;101.93;22.39;4.0;3.0;4552.0;624.067
235.0;0.0;227.5;0.0;232.5;0.0;230.0;0.0;1064.65;59539397.0;0.0;0.0;84.11;28.7;5.0;3.0;2931.0;582.7
237.5;0.0;225.0;0.0;232.5;0.0;230.0;0.0;126.02;7047754.0;0.0;166.0;95.75;25.59;6.0;3.0;3742.0;232.065
232.5;0.0;225.0;0.0;230.0;0.0;227.5;0.0;858.91;48033993.0;0.0;57.0;97.61;25.07;7.0;3.0;3893.0;538.162
235.0;0.0;222.5;0.0;230.0;0.0;227.5;0.0;132.76;7424211.0;0.0;351.0;91.57;26.87;8.0;3.0;3408.0;232.831
237.5;0.0;220.0;0.0;230.0;0.0;227.5;0.0;65.56;3666593.0;0.0;3.0;113.71;26.73;9.0;4.0;4254.0;231.159
230.0;0.0;222.5;0.0;227.5;0.0;225.0;0.0;640.46;35817038.0;0.01;1578.0;97.46;24.98;10.0;3.0;3902.0;402.735
232.5;0.0;220.0;0.0;227.5;0.0;225.0;0.0;92.36;5164882.0;0.0;396.0;100.88;23.69;11.0;3.0;4258.0;183.722
235.0;0.0;217.5;0.0;227.5;0.0;225.0;0.0;64.62;3613810.0;0.0;229.0;103.49;30.36;12.0;4.0;3409.0;200.602
237.5;0.0;215.0;0.0;227.5;0.0;225.0;0.0;51.42;2875536.0;0.0;36.0;105.36;30.36;13.0;4.0;3470.0;266.042
237.5;0.0;212.5;0.0;227.5;0.0;222.5;0.0;93.95;5254339.0;0.0;387.0;107.7;29.8;14.0;4.0;3614.0;297.134
227.5;0.0;220.0;0.0;225.0;0.0;222.5;0.0;847.34;47386822.0;0.09;20172.0;75.0;33.07;15.0;3.0;2268.0;402.479
230.0;0.0;217.5;0.0;225.0;0.0;222.5;0.0;102.64;5740237.0;0.0;69.0;96.86;24.96;16.0;3.0;3881.0;193.782
