Ax;Ay;Bx;By;Mx;My;Nx;Ny;Vp;vp_raw;varvp;varvp_raw;tensao;corrente;step;potencia;resistencia corrente;resistividade
0.0;0.0;3.0;0.0;1.0;0.0;2.0;0.0;17.21;962346.0;0.0;308.0;28.14;11.67;4.0;128.0;2411.0;9.266
1.0;0.0;4.0;0.0;2.0;0.0;3.0;0.0;17.22;962930.0;0.0;0.0;27.83;11.55;5.0;128.0;2410.0;9.368
0.0;0.0;5.0;0.0;2.0;0.0;3.0;0.0;17.12;957261.0;0.0;0.0;28.17;11.49;6.0;128.0;2452.0;28.086
2.0;0.0;5.0;0.0;3.0;0.0;4.0;0.0;17.26;965217.0;0.0;2.0;28.23;11.38;7.0;128.0;2481.0;9.53
1.0;0.0;6.0;0.0;3.0;0.0;4.0;0.0;17.2;961819.0;0.0;3.0;27.94;11.44;8.0;128.0;2442.0;28.34
0.0;0.0;7.0;0.0;3.0;0.0;4.0;0.0;17.27;965749.0;0.0;2.0;28.23;11.69;9.0;128.0;2415.0;55.694
3.0;0.0;6.0;0.0;4.0;0.0;5.0;0.0;17.32;968648.0;0.0;3.0;27.86;11.44;10.0;128.0;2435.0;9.513
2.0;0.0;7.0;0.0;4.0;0.0;5.0;0.0;17.33;969096.0;0.0;0.0;28.03;11.49;11.0;128.0;2440.0;28.43
1.0;0.0;8.0;0.0;4.0;0.0;5.0;0.0;17.26;965154.0;0.0;5.0;28.2;11.28;12.0;128.0;2500.0;57.685
0.0;0.0;9.0;0.0;4.0;0.0;5.0;0.0;17.25;964543.0;0.0;0.0;28.34;11.41;13.0;128.0;2484.0;94.991
0.0;0.0;10.0;0.0;4.0;0.0;6.0;0.0;34.69;1939857.0;0.0;0.0;28.27;11.39;14.0;128.0;2482.0;114.818
4.0;0.0;7.0;0.0;5.0;0.0;6.0;0.0;17.3;967730.0;0.0;0.0;27.89;11.57;15.0;128.0;2411.0;9.395
3.0;0.0;8.0;0.0;5.0;0.0;6.0;0.0;17.18;960999.0;0.0;1.0;27.97;11.54;16.0;128.0;2424.0;28.062
2.0;0.0;9.0;0.0;5.0;0.0;6.0;0.0;17.1;956200.0;0.0;0.0;28.47;11.44;17.0;128.0;2489.0;56.351
1.0;0.0;10.0;0.0;5.0;0.0;6.0;0.0;17.06;954178.0;0.0;3.0;28.03;11.61;18.0;128.0;2414.0;92.327
1.0;0.0;11.0;0.0;5.0;0.0;7.0;0.0;34.61;1935745.0;0.0;1.0;28.41;11.51;19.0;128.0;2468.0;113.359
5.0;0.0;8.0;0.0;6.0;0.0;7.0;0.0;17.2;961737.0;0.0;0.0;28.27;11.58;20.0;128.0;2441.0;9.333
4.0;0.0;9.0;0.0;6.0;0.0;7.0;0.0;17.22;962884.0;0.0;0.0;28.11;11.54;21.0;128.0;2436.0;28.127
3.0;0.0;10.0;0.0;6.0;0.0;7.0;0.0;17.06;954046.0;0.0;0.0;28.24;11.5;22.0;128.0;2456.0;55.926
